year,month,carrier,airport,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2018,6,B6,RNO,58.0,5.0,0.49,0.99,0.06,0.0,3.46,1.0,0.0,291.0,28.0,72.0,7.0,0.0,184.0
2022,3,G4,CAK,35.0,6.0,3.35,0.0,0.04,0.0,2.62,0.0,0.0,448.0,147.0,0.0,1.0,0.0,300.0
2015,3,DL,OMA,173.0,20.0,13.54,0.0,3.58,0.0,2.88,0.0,1.0,1034.0,817.0,0.0,129.0,0.0,88.0
2014,4,EV,DTW,2254.0,285.0,59.88,5.99,56.92,0.0,162.21,59.0,3.0,21464.0,5732.0,418.0,3326.0,0.0,11988.0
2019,4,DL,MCO,1620.0,242.0,89.31,5.27,76.6,0.0,70.82,3.0,4.0,18570.0,5951.0,656.0,5854.0,0.0,6109.0
2021,9,G4,SAN,9.0,3.0,2.0,0.0,0.86,0.0,0.14,0.0,0.0,257.0,236.0,0.0,18.0,0.0,3.0
2021,8,YX,RSW,21.0,9.0,2.14,0.0,6.26,0.0,0.59,0.0,0.0,360.0,108.0,0.0,229.0,0.0,23.0
2019,1,YX,BTV,105.0,19.0,0.28,1.81,6.73,0.0,10.17,14.0,0.0,1989.0,23.0,522.0,442.0,0.0,1002.0
2023,3,WN,ITO,155.0,45.0,15.72,0.0,3.46,0.0,25.82,0.0,0.0,2169.0,708.0,0.0,78.0,0.0,1383.0
2023,3,G4,MRY,9.0,5.0,1.94,0.0,0.82,0.0,2.24,0.0,0.0,555.0,413.0,0.0,45.0,0.0,97.0
2017,1,AS,DTW,31.0,13.0,3.53,0.43,8.24,0.0,0.8,1.0,0.0,746.0,200.0,50.0,387.0,0.0,109.0
2018,5,YX,CMH,1048.0,166.0,47.08,5.66,34.34,0.0,78.92,30.0,0.0,11790.0,2441.0,560.0,1498.0,0.0,7291.0
2019,8,OO,BJI,68.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,750.0,693.0,0.0,0.0,0.0,57.0
2023,5,UA,DCA,378.0,63.0,19.03,5.02,21.28,0.0,17.67,4.0,3.0,3215.0,861.0,608.0,733.0,0.0,1013.0
2021,7,UA,RDU,258.0,84.0,21.65,8.42,23.1,0.0,30.83,3.0,1.0,5703.0,1087.0,659.0,1064.0,0.0,2893.0
2021,9,QX,ANC,227.0,32.0,8.54,0.0,6.2,6.0,11.26,1.0,0.0,1725.0,600.0,0.0,158.0,185.0,782.0
2017,9,B6,PWM,109.0,19.0,9.93,0.0,2.87,0.0,6.2,2.0,0.0,1191.0,675.0,0.0,148.0,0.0,368.0
2015,8,UA,LAX,2776.0,704.0,229.15,23.28,284.53,0.0,167.05,22.0,1.0,37410.0,11421.0,1892.0,11059.0,0.0,13038.0
2022,9,G4,TUL,30.0,13.0,1.68,2.16,2.21,0.0,6.95,1.0,0.0,806.0,109.0,338.0,104.0,0.0,255.0
2017,3,WN,SLC,961.0,179.0,46.68,3.37,25.82,0.0,103.13,11.0,1.0,7897.0,2117.0,312.0,823.0,0.0,4645.0
